"Participant_ID","Full_Name","Province_Code","Training_Module","Start_Date","End_Date","Attendance_Pct","Pre_Test_Score","Post_Test_Score","Equipment_Assigned","Equipment_Returned","Funding_Sponsor"
"EMP-036","Tshilidzi Govender","Gauteng","GPR_Spatial_Mapping","2026-04-04","2026-04-18","88","38","92","GPS_Unit_01","Unreturned","SAHRA_Grant"
"EMP-040","Bongani Zungu","Gauteng","3D_Digital_Preservation","2026/07/04","2026-07-18","97","32","96","GPS_Unit_017","Unreturned","SAHRA_Grant"
"EMP-043","Nokuthula Van Der Merwe","Gauteng","GPR_Spatial_Mapping","11-04-2026","2026-04-25","97","70","89","GPS_Unit_A17","Unreturned","DSAC_Fund"
"EMP-044","Thabo Smith","Gauteng","Arch_Site_Cataloguing","17/04/2026","2026-05-01","92","66","92","Tablet_T6","Unreturned","DSAC_Fund"
"EMP-045","Sipho Dlamini","Gauteng","GPR_Spatial_Mapping","2026/06/03","2026-06-17","62","26","50","Tablet_01","Returned","National_Lotteries"
"EMP-049","Bongani Smith","Gauteng","3D_Digital_Preservation","08-01-2026","2026-01-22","86","56","58","GPS_Unit_A11","Returned","National_Lotteries"
"EMP-054","Lethabo Sithole","Gauteng","Community_Arch_Survey","2026-01-07","2026-01-21","98","41","83","Dumpy_Level_T14","Returned","Private_Donor"
"EMP-060","Aphiwe Khoza","Gauteng","Community_Arch_Survey","2026-03-05","2026-03-19","85","31","89","GPS_Unit_B12","Returned","Private_Donor"
"EMP-061","Keanu Muller","Gauteng","GPR_Spatial_Mapping","2026/07/09","2026-07-23","71","38","63","Tablet_07","Returned","National_Lotteries"
"EMP-062","Tshilidzi Du Plessis","Gauteng","GPR_Spatial_Mapping","2026-02-11","2026-02-25","97","30","86","GPS_Unit_020","Unreturned","SAHRA_Grant"
"EMP-063","Francois Botha","Gauteng","Community_Arch_Survey","2026-05-19","2026-06-02","96","18","48","Dumpy_Level_A13","Returned","National_Lotteries"
"EMP-070","Zanele Mokoena","Gauteng","3D_Digital_Preservation","04/08/2026","2026-08-18","83","55","59","Dumpy_Level_B7","Returned","SAHRA_Grant"
"EMP-072","Bongani Smit","Gauteng","Community_Arch_Survey","2026-07-16","2026-07-30","79","60","82","GPS_Unit_07","Returned","Private_Donor"
"EMP-076","Aphiwe Botha","Gauteng","Arch_Site_Cataloguing","2026-08-01","2026-08-15","44","22","79","GPS_Unit_T12","Unreturned","Private_Donor"
"EMP-081","David Maseko","Gauteng","Community_Arch_Survey","19-06-2026","2026-07-03","63","50","68","Laser_Scanner_B19","Returned","DSAC_Fund"
"EMP-084","Thabo Sitole","Gauteng","GPR_Spatial_Mapping","2026-08-11","2026-08-25","97","30","81","Tablet_07","Unreturned","Private_Donor"
"EMP-085","Kagiso Maseko","Gauteng","Arch_Site_Cataloguing","2026/01/16","2026-01-30","75","53","92","Tablet_01","Returned","DSAC_Fund"
"EMP-086","Kirsten Mokoena","Gauteng","Arch_Site_Cataloguing","2026/05/16","2026-05-30","47","32","97","GPS_Unit_B8","Returned","National_Lotteries"
"EMP-087","Nandi Zungu","Gauteng","3D_Digital_Preservation","2026-02-12","2026-02-26","89","34","87","Tablet_B9","Returned","Private_Donor"
"EMP-089","Sibusiso Smit","Gauteng","GPR_Spatial_Mapping","2026-01-16","2026-01-30","48","62","0","Laser_Scanner_B7","Returned","DSAC_Fund"
"EMP-090","Bongani Sithole","Gauteng","Community_Arch_Survey","19-06-2026","2026-07-03","43","65","99","Laser_Scanner_T20","Unreturned","SAHRA_Grant"
"EMP-091","Francois Maseko","Gauteng","GPR_Spatial_Mapping","2026-03-09","2026-03-23","73","49","79","GPS_Unit_B20","Unreturned","DSAC_Fund"
"EMP-098","Pieter Du Plessis","Gauteng","GPR_Spatial_Mapping","2026-08-20","2026-09-03","65","33","79","Dumpy_Level_B19","Unreturned","DSAC_Fund"
"EMP-099","Thabo Smit","Gauteng","GPR_Spatial_Mapping","2026-07-16","2026-07-30","82","16","44","Dumpy_Level_B4","Unreturned","Private_Donor"
"EMP-004","Lindiwe Khumalo","KwaZulu-Natal","Community_Arch_Survey","2026-02-05","2026-02-19","40","60","55","Dumpy_Level_01","Unreturned","DSAC_Fund"
"EMP-007","Nokuthula Zungu","KwaZulu-Natal","Community_Arch_Survey","2026-03-01","2026-03-15","88","39","82","GPS_Unit_B1","Returned","DSAC_Fund"
"EMP-010","Nomvula Ndlovu","KwaZulu-Natal","Community_Arch_Survey","2026-03-10","2026-03-24","90","50","85","GPS_Unit_B2","Returned","DSAC_Fund"
"EMP-013","Zanele Cele","KwaZulu-Natal","Community_Arch_Survey","2026-04-10","2026-04-24","85","55","80","Tablet_T12","Returned","DSAC_Fund"
"EMP-018","Zanele Muller","KwaZulu-Natal","GPR_Spatial_Mapping","15-08-2026","2026-08-29","100","50","89","Dumpy_Level_011","Returned","National_Lotteries"
"EMP-019","Teboho Zungu","KwaZulu-Natal","3D_Digital_Preservation","2026/04/06","2026-04-20","95","39","93","Dumpy_Level_T17","Unreturned","SAHRA_Grant"
"EMP-027","Lethabo Khumalo","KwaZulu-Natal","3D_Digital_Preservation","04-05-2026","2026-05-18","65","17","66","GPS_Unit_B12","Unreturned","DSAC_Fund"
"EMP-030","Kirsten Cele","KwaZulu-Natal","Arch_Site_Cataloguing","07/04/2026","2026-04-21","80","54","67","GPS_Unit_A10","Unreturned","Private_Donor"
"EMP-031","Kagiso Pillay","KwaZulu-Natal","Arch_Site_Cataloguing","15-01-2026","2026-01-29","88","64","74","Dumpy_Level_B9","Returned","DSAC_Fund"
"EMP-032","Tshilidzi Cele","KwaZulu-Natal","GPR_Spatial_Mapping","2026/08/13","2026-08-27","51","31","89","Dumpy_Level_T18","Unreturned","Private_Donor"
"EMP-038","Tshilidzi Mokoena","KwaZulu-Natal","Community_Arch_Survey","17-06-2026","2026-07-01","90","68","0","Dumpy_Level_03","Returned","DSAC_Fund"
"EMP-039","Sibusiso Pillay","KwaZulu-Natal","Arch_Site_Cataloguing","2026/03/10","2026-03-24","43","69","96","GPS_Unit_A15","Unreturned","Private_Donor"
"EMP-042","Kirsten Cele","KwaZulu-Natal","3D_Digital_Preservation","2026-02-09","2026-02-23","89","35","84","Dumpy_Level_017","Returned","SAHRA_Grant"
"EMP-052","Willem Molefe","KwaZulu-Natal","3D_Digital_Preservation","2026-01-05","2026-01-19","77","35","97","Dumpy_Level_A13","Returned","SAHRA_Grant"
"EMP-068","Tshilidzi Pillay","KwaZulu-Natal","Arch_Site_Cataloguing","19/08/2026","2026-09-02","99","46","84","Dumpy_Level_A10","Returned","DSAC_Fund"
"EMP-069","Thabo Khoza","KwaZulu-Natal","3D_Digital_Preservation","2026-06-19","2026-07-03","63","53","91","Tablet_A18","Returned","National_Lotteries"
"EMP-080","Aphiwe Govender","KwaZulu-Natal","3D_Digital_Preservation","14/06/2026","2026-06-28","93","45","100","Laser_Scanner_A14","Returned","DSAC_Fund"
"EMP-083","David Dlamini","KwaZulu-Natal","3D_Digital_Preservation","13/02/2026","2026-02-27","51","60","65","Dumpy_Level_B18","Returned","SAHRA_Grant"
"EMP-094","Thabo Molefe","KwaZulu-Natal","GPR_Spatial_Mapping","2026-05-18","2026-06-01","98","29","48","Dumpy_Level_B12","Unreturned","DSAC_Fund"
"EMP-017","Tshilidzi Smith","Limpopo","GPR_Spatial_Mapping","11/02/2026","2026-02-25","73","21","69","GPS_Unit_B12","Returned","Private_Donor"
"EMP-057","Johan Dlamini","Mpumalanga","Community_Arch_Survey","19/08/2026","2026-09-02","57","16","63","GPS_Unit_B8","Returned","National_Lotteries"
"EMP-058","Nandi Pillay","Mpumalanga","Community_Arch_Survey","07/03/2026","2026-03-21","78","35","93","Dumpy_Level_T11","Unreturned","Private_Donor"
"EMP-073","Lethabo Botha","Mpumalanga","Arch_Site_Cataloguing","12-07-2026","2026-07-26","73","40","79","GPS_Unit_T10","Unreturned","SAHRA_Grant"
"EMP-097","Bongani Pillay","North West","3D_Digital_Preservation","2026-08-20","2026-09-03","37","68","100","Laser_Scanner_A10","Returned","Private_Donor"
"EMP-021","Tshilidzi Dlamini","Northern Cape","Community_Arch_Survey","2026-01-08","2026-01-22","78","24","89","GPS_Unit_09","Returned","Private_Donor"
"EMP-050","Lethabo Smith","Northern Cape","GPR_Spatial_Mapping","2026-02-13","2026-02-27","47","33","40","Laser_Scanner_A15","Unreturned","SAHRA_Grant"
"EMP-051","Willem Mokoena","Northern Cape","Community_Arch_Survey","2026/07/04","2026-07-18","52","39","92","GPS_Unit_T4","Unreturned","Private_Donor"
"EMP-100","Zanele Khoza","Northern Cape","Arch_Site_Cataloguing","2026/08/16","2026-08-30","43","75","58","Tablet_A7","Returned","Private_Donor"
"EMP-002","Sarah Van Der Merwe","Western Cape","Arch_Site_Cataloguing","12/01/2026","2026-01-26","80","52","79","Tablet_T04","Returned","SAHRA_Grant"
"EMP-006","Johan Botha","Western Cape","Arch_Site_Cataloguing","2026-02-10","2026-02-24","75","55","0","Tablet_T02","Returned","Private_Donor"
"EMP-009","Pieter Naude","Western Cape","Arch_Site_Cataloguing","01-03-2026","2026-03-15","75","48","70","Tablet_T09","Unreturned","Private_Donor"
"EMP-012","David Smith","Western Cape","3D_Digital_Preservation","2026-04-05","2026-04-19","100","70","100","Laser_Scanner_01","Returned","National_Lotteries"
"EMP-015","Francois Du Plessis","Western Cape","3D_Digital_Preservation","2026-05-05","2026-05-19","92","62","90","Laser_Scanner_02","Returned","National_Lotteries"
"EMP-016","Sarah Van Der Merwe","Western Cape","Arch_Site_Cataloguing","2026/06/02","2026-06-16","78","50","88","Tablet_A19","Unreturned","SAHRA_Grant"
"EMP-028","Aphiwe Khoza","Western Cape","GPR_Spatial_Mapping","2026/05/17","2026-05-31","87","58","89","Laser_Scanner_018","Returned","National_Lotteries"
"EMP-033","Kirsten Ndlovu","Western Cape","3D_Digital_Preservation","11/04/2026","2026-04-25","84.5","25","92","Dumpy_Level_B16","Returned","Private_Donor"
"EMP-046","Willem Pillay","Western Cape","3D_Digital_Preservation","2026/05/01","2026-05-15","84.5","52","69","GPS_Unit_A13","Returned","DSAC_Fund"
"EMP-048","Teboho Sithole","Western Cape","Community_Arch_Survey","2026-06-19","2026-07-03","80","32","60","Laser_Scanner_A11","Unreturned","National_Lotteries"
"EMP-053","Pieter Nkosi","Western Cape","Community_Arch_Survey","2026-05-07","2026-05-21","79","28","81","Laser_Scanner_T12","Returned","National_Lotteries"
"EMP-056","Nomvula Mokoena","Western Cape","Arch_Site_Cataloguing","17/02/2026","2026-03-03","42","47","40","Laser_Scanner_018","Returned","SAHRA_Grant"
"EMP-059","Sibusiso Zungu","Western Cape","3D_Digital_Preservation","2026-05-02","2026-05-16","40","25","64","GPS_Unit_T16","Returned","National_Lotteries"
"EMP-064","Francois Dlamini","Western Cape","GPR_Spatial_Mapping","2026/08/16","2026-08-30","47","38","92","Laser_Scanner_A19","Unreturned","SAHRA_Grant"
"EMP-066","Nandi Dlamini","Western Cape","GPR_Spatial_Mapping","2026-02-09","2026-02-23","49","41","86","Dumpy_Level_B16","Returned","National_Lotteries"
"EMP-067","Teboho Dlamini","Western Cape","3D_Digital_Preservation","2026/03/08","2026-03-22","66","18","65","Tablet_A19","Returned","SAHRA_Grant"
"EMP-071","Pieter Mthembu","Western Cape","Community_Arch_Survey","01/01/2026","2026-01-15","100","37","64","Dumpy_Level_B12","Unreturned","Private_Donor"
"EMP-074","Mpho Pillay","Western Cape","Arch_Site_Cataloguing","2026-04-18","2026-05-02","86","61","86","Laser_Scanner_T6","Returned","Private_Donor"
"EMP-077","Teboho Dlamini","Western Cape","3D_Digital_Preservation","2026-02-12","2026-02-26","67","24","80","Laser_Scanner_T2","Unreturned","DSAC_Fund"
"EMP-078","Pieter Dlamini","Western Cape","3D_Digital_Preservation","2026-01-07","2026-01-21","95","66","80","GPS_Unit_A12","Returned","SAHRA_Grant"
"EMP-079","Nokuthula Dlamini","Western Cape","GPR_Spatial_Mapping","2026/04/09","2026-04-23","73","40","94","GPS_Unit_B12","Returned","DSAC_Fund"
"EMP-082","Sipho Du Plessis","Western Cape","3D_Digital_Preservation","2026/06/18","2026-07-02","40","25","48","Dumpy_Level_T3","Returned","DSAC_Fund"
"EMP-088","Lethabo Smith","Western Cape","GPR_Spatial_Mapping","2026-04-06","2026-04-20","70","65","58","GPS_Unit_A17","Returned","National_Lotteries"
"EMP-092","Johan Khoza","Western Cape","GPR_Spatial_Mapping","2026-05-09","2026-05-23","98","41","89","Dumpy_Level_B1","Returned","Private_Donor"
"EMP-095","Lindiwe Cele","Western Cape","3D_Digital_Preservation","2026-05-02","2026-05-16","56","36","89","GPS_Unit_020","Unreturned","SAHRA_Grant"
